year,abbr,D_votes,R_votes,house_margin,house_margin_str,relative_margin,relative_margin_str,national_margin,national_margin_str
2024,AK,156245,159550,-0.010465650184455106,R+1.0,0.012388674075251805,D+1.2,-0.02285432425970691,R+2.3
2024,AL,518197,1508754,-0.48869311591646764,R+48.9,-0.46583879165676073,R+46.6,-0.02285432425970691,R+2.3
2024,AL,518197,1508754,-0.48869311591646764,R+48.9,-0.46583879165676073,R+46.6,-0.02285432425970691,R+2.3
2024,AR,358749,764367,-0.3611541461434082,R+36.1,-0.3382998218837013,R+33.8,-0.02285432425970691,R+2.3
2024,AZ,1551085,1680841,-0.040148196462419,R+4.0,-0.017293872202712092,R+1.7,-0.02285432425970691,R+2.3
2024,CA,17873303,12517231,0.17624145729061555,D+17.6,0.19909578155032245,D+19.9,-0.02285432425970691,R+2.3
2024,CO,1667213,1306086,0.12145667152883044,D+12.1,0.14431099578853734,D+14.4,-0.02285432425970691,R+2.3
2024,CT,981762,683089,0.17939923752936449,D+17.9,0.2022535617890714,D+20.2,-0.02285432425970691,R+2.3
2024,DC,251540,19765,0.8542968246069921,D+85.4,0.877151148866699,D+87.7,-0.02285432425970691,R+2.3
2024,DE,287830,209606,0.157254400566103,D+15.7,0.1801087248258099,D+18.0,-0.02285432425970691,R+2.3
2024,FL,4339733,5975435,-0.15857250216380384,R+15.9,-0.13571817790409693,R+13.6,-0.02285432425970691,R+2.3
2024,GA,2434984,2702118,-0.05200091413407793,R+5.2,-0.02914658987437102,R+2.9,-0.02285432425970691,R+2.3
2024,HI,330488,139844,0.4053392071983195,D+40.5,0.4281935314580264,D+42.8,-0.02285432425970691,R+2.3
2024,IA,696033,904563,-0.13028271968691663,R+13.0,-0.10742839542720972,R+10.7,-0.02285432425970691,R+2.3
2024,ID,244885,581168,-0.4070961548472071,R+40.7,-0.3842418305875002,R+38.4,-0.02285432425970691,R+2.3
2024,ID,244885,581168,-0.4070961548472071,R+40.7,-0.3842418305875002,R+38.4,-0.02285432425970691,R+2.3
2024,IL,2829169,2517389,0.058314152768940315,D+5.8,0.08116847702864723,D+8.1,-0.02285432425970691,R+2.3
2024,IN,1103484,1668618,-0.2038647928539426,R+20.4,-0.1810104685942357,R+18.1,-0.02285432425970691,R+2.3
2024,KS,526153,749375,-0.1750036063496842,R+17.5,-0.1521492820899773,R+15.2,-0.02285432425970691,R+2.3
2024,KT,511998,1392354,-0.46228638402984323,R+46.2,-0.43943205977013633,R+43.9,-0.02285432425970691,R+2.3
2024,LA,650836,1248101,-0.3145259690026578,R+31.5,-0.2916716447429509,R+29.2,-0.02285432425970691,R+2.3
2024,MA,2386143,304460,0.7736864189923225,D+77.4,0.7965407432520294,D+79.7,-0.02285432425970691,R+2.3
