,centroid_1,centroid_5,centroid_3,centroid_4,centroid_2
AK,Blue,Blue,blue,blue,blue
AL,RED,RED,RED,RED,RED
AR,RED,RED,RED,RED,Red
AZ,BLUE,Blue,Blue,Blue,Blue
CA,BLUE,BLUE,BLUE,BLUE,BLUE
CO,BLUE,BLUE,BLUE,BLUE,BLUE
CT,BLUE,BLUE,BLUE,BLUE,BLUE
DC,BLUE,BLUE,BLUE,BLUE,BLUE
DE,BLUE,BLUE,BLUE,BLUE,BLUE
FL,red,lred,lred,lblue,blue
GA,blue,blue,blue,Blue,BLUE
HI,BLUE,BLUE,BLUE,BLUE,BLUE
IA,BLUE,BLUE,BLUE,Blue,Blue
ID,Red,Red,RED,RED,RED
IL,BLUE,BLUE,BLUE,BLUE,BLUE
IN,red,red,lblue,red,red
KS,Blue,blue,blue,blue,red
KY,RED,RED,RED,RED,RED
LA,Red,red,Red,Red,red
MA,BLUE,BLUE,BLUE,BLUE,BLUE
MD,BLUE,BLUE,BLUE,BLUE,BLUE
ME-01,BLUE,BLUE,BLUE,BLUE,BLUE
ME-02,blue,BLUE,BLUE,blue,BLUE
ME-AL,BLUE,BLUE,BLUE,BLUE,BLUE
MI,Blue,BLUE,BLUE,BLUE,BLUE
MN,BLUE,BLUE,BLUE,BLUE,BLUE
MO,red,blue,lblue,red,lred
MS,RED,Red,Red,Red,Red
MT,Blue,BLUE,blue,lblue,red
NC,Blue,Blue,Blue,BLUE,Blue
ND,lred,blue,red,RED,RED
NE-01,BLUE,BLUE,BLUE,Blue,blue
NE-02,BLUE,BLUE,BLUE,BLUE,BLUE
NE-03,RED,RED,RED,RED,RED
NE-AL,Blue,Blue,Blue,lred,red
NH,BLUE,BLUE,BLUE,BLUE,BLUE
NJ,BLUE,BLUE,BLUE,BLUE,BLUE
NM,BLUE,BLUE,BLUE,BLUE,BLUE
NV,BLUE,BLUE,Blue,BLUE,BLUE
NY,BLUE,BLUE,BLUE,BLUE,BLUE
OH,blue,Blue,Blue,blue,Blue
OK,Red,Red,Red,RED,RED
OR,BLUE,BLUE,BLUE,BLUE,BLUE
PA,BLUE,BLUE,BLUE,BLUE,BLUE
RI,BLUE,BLUE,BLUE,BLUE,BLUE
SC,Red,Red,Red,red,red
SD,blue,Blue,lred,Red,Red
TN,RED,RED,RED,RED,RED
TX,blue,blue,blue,blue,blue
UT,Blue,red,Red,red,Red
VA,BLUE,BLUE,BLUE,BLUE,BLUE
VT,BLUE,BLUE,BLUE,BLUE,BLUE
WA,BLUE,BLUE,BLUE,BLUE,BLUE
WI,BLUE,BLUE,BLUE,BLUE,BLUE
WV,RED,RED,RED,RED,RED
WY,RED,RED,RED,RED,RED
