,centroid_1,centroid_5,centroid_3,centroid_4,centroid_2
AK,Blue,,blue,,
AR,RED,,,,Red
AZ,BLUE,Blue,,,
FL,red,lred,,lblue,blue
GA,blue,,,Blue,BLUE
IA,BLUE,,,Blue,
ID,Red,,RED,,
IN,red,,lblue,red,
KS,Blue,blue,,,red
LA,Red,red,Red,,red
ME-02,blue,BLUE,,blue,BLUE
MI,Blue,BLUE,,,
MO,red,blue,lblue,red,lred
MS,RED,Red,,,
MT,Blue,BLUE,blue,lblue,red
NC,Blue,,,BLUE,Blue
ND,lred,blue,red,RED,
NE-01,BLUE,,,Blue,blue
NE-AL,Blue,,,lred,red
NV,BLUE,,Blue,BLUE,
OH,blue,Blue,,blue,Blue
OK,Red,,,RED,
SC,Red,,,red,
SD,blue,Blue,lred,Red,
UT,Blue,red,Red,red,Red
