,centroid_1,centroid_3,centroid_2,centroid_4,centroid_5
AK,blue,lblue,blue,lred,red
AL,RED,RED,RED,RED,RED
AR,Red,RED,RED,RED,RED
AZ,Blue,Blue,blue,Blue,Blue
CA,BLUE,BLUE,BLUE,BLUE,BLUE
CO,BLUE,BLUE,BLUE,BLUE,BLUE
CT,BLUE,BLUE,BLUE,BLUE,BLUE
DC,BLUE,BLUE,BLUE,BLUE,BLUE
DE,BLUE,BLUE,BLUE,BLUE,BLUE
FL,red,red,red,lred,red
GA,Blue,lred,blue,BLUE,blue
HI,BLUE,BLUE,BLUE,BLUE,BLUE
IA,lblue,Blue,Blue,red,lblue
ID,RED,RED,RED,RED,RED
IL,BLUE,BLUE,BLUE,BLUE,BLUE
IN,Red,red,red,Red,Red
KS,lblue,blue,lred,red,lred
KY,RED,RED,RED,RED,RED
LA,Red,RED,Red,Red,RED
MA,BLUE,BLUE,BLUE,BLUE,BLUE
MD,BLUE,BLUE,BLUE,BLUE,BLUE
ME-01,BLUE,BLUE,BLUE,BLUE,BLUE
ME-02,lblue,Red,Blue,blue,Red
ME-AL,BLUE,Blue,BLUE,BLUE,Blue
MI,blue,Blue,Blue,Blue,Blue
MN,BLUE,BLUE,BLUE,BLUE,BLUE
MO,Red,Red,red,red,Red
MS,RED,RED,RED,Red,RED
MT,lblue,blue,lblue,Red,Red
NC,Blue,blue,Blue,Blue,Blue
ND,RED,Red,Red,RED,RED
NE-01,blue,BLUE,Blue,red,blue
NE-02,BLUE,BLUE,BLUE,BLUE,BLUE
NE-03,RED,RED,RED,RED,RED
NE-AL,red,blue,lblue,Red,red
NH,BLUE,BLUE,BLUE,BLUE,BLUE
NJ,BLUE,BLUE,BLUE,BLUE,BLUE
NM,BLUE,BLUE,BLUE,BLUE,BLUE
NV,BLUE,BLUE,Blue,Blue,BLUE
NY,BLUE,BLUE,BLUE,BLUE,BLUE
OH,lblue,red,blue,lblue,red
OK,RED,RED,RED,RED,RED
OR,BLUE,BLUE,BLUE,BLUE,BLUE
PA,Blue,Blue,Blue,Blue,Blue
RI,BLUE,BLUE,BLUE,BLUE,BLUE
SC,Red,RED,Red,red,Red
SD,Red,red,Red,RED,RED
TN,RED,RED,RED,RED,RED
TX,lblue,blue,lblue,red,lred
UT,red,blue,Red,RED,red
VA,BLUE,BLUE,BLUE,BLUE,BLUE
VT,BLUE,BLUE,BLUE,BLUE,BLUE
WA,BLUE,BLUE,BLUE,BLUE,BLUE
WI,Blue,BLUE,BLUE,Blue,Blue
WV,RED,RED,RED,RED,RED
WY,RED,RED,RED,RED,RED
