,centroid_1,centroid_3,centroid_2,centroid_4,centroid_5
AK,blue,lblue,blue,lred,red
AR,Red,RED,,,
AZ,Blue,,blue,Blue,
FL,red,,,lred,red
GA,Blue,lred,blue,BLUE,blue
IA,lblue,Blue,,red,lblue
IN,Red,red,,Red,
KS,lblue,blue,lred,red,lred
LA,Red,RED,Red,,RED
ME-02,lblue,Red,Blue,blue,Red
ME-AL,BLUE,Blue,BLUE,,Blue
MI,blue,Blue,,,
MO,Red,,red,,Red
MS,RED,,,Red,RED
MT,lblue,blue,lblue,Red,
NC,Blue,blue,Blue,,
ND,RED,Red,,RED,
NE-01,blue,BLUE,Blue,red,blue
NE-AL,red,blue,lblue,Red,red
NV,BLUE,,Blue,,BLUE
OH,lblue,red,blue,lblue,red
SC,Red,RED,Red,red,Red
SD,Red,red,Red,RED,
TX,lblue,blue,lblue,red,lred
UT,red,blue,Red,RED,red
WI,Blue,BLUE,,Blue,
