,centroid_2,centroid_1,centroid_5,centroid_3,centroid_4
AK,red,Red,lred,red,lred
AZ,blue,lred,blue,,
FL,red,,Red,red,Red
GA,Blue,blue,,,red
IA,Red,blue,red,lred,Blue
IN,RED,Red,,,
KS,Red,,,red,
LA,Red,RED,Red,RED,
ME-02,Blue,,BLUE,red,Blue
ME-AL,BLUE,,,Blue,BLUE
MI,Blue,,,blue,Blue
MS,Red,RED,,,
MT,RED,Red,red,Red,blue
NC,Blue,blue,,,
ND,RED,,,,Red
NE-01,Red,lblue,red,blue,Blue
NE-02,Blue,BLUE,Blue,BLUE,
NE-AL,RED,Red,,,lred
NH,BLUE,Blue,BLUE,,
NJ,BLUE,,Blue,BLUE,
NV,blue,,Blue,,
OH,red,lblue,blue,red,lblue
PA,blue,Blue,blue,Blue,
SC,Red,,,RED,
SD,RED,,,,red
TX,Red,,,red,
UT,RED,,,Red,
VA,BLUE,,,,Blue
WI,blue,BLUE,Blue,,BLUE
