abbr,relative_margin,electoral_votes
NE-03,-0.48533541505143096,1.0
WY,-0.37046923161783946,3.0
ID,-0.31560824980546354,4.0
WV,-0.312962170895773,5.0
OK,-0.30399202289192445,7.0
TN,-0.2999251271831805,11.0
AL,-0.2991441212303307,9.0
ND,-0.2794651498700592,3.0
UT,-0.2686106098592269,6.0
KY,-0.2427473252091254,8.0
AR,-0.2292058586954304,6.0
SD,-0.22322233788751533,3.0
NE-AL,-0.18344929407966318,2.0
KS,-0.18035274637555718,6.0
MS,-0.17986317438879237,6.0
IN,-0.16558484767744372,11.0
LA,-0.15806925727415536,8.0
SC,-0.138832607890101,9.0
FL,-0.13255038529773103,29.0
MT,-0.13184537249869854,3.0
MO,-0.13119044604027152,10.0
TX,-0.12324582019922425,38.0
NE-01,-0.09573339660887205,1.0
AK,-0.09346701450693826,3.0
IA,-0.0826260479490459,6.0
AZ,-0.0723080494758834,11.0
OH,-0.05781469165491307,18.0
NV,-0.03827682861946338,6.0
PA,-0.01894647683029646,20.0
NC,-0.007481663994853824,15.0
GA,-0.0009107626963232385,16.0
NE-02,0.03072092942131352,1.0
WI,0.037000467541023235,10.0
MI,0.04750556322755027,16.0
NJ,0.06212426307592723,14.0
VA,0.06496764912575435,13.0
NM,0.06842016384382861,5.0
ME-02,0.08822920006602304,1.0
NH,0.08978028991914491,4.0
MN,0.09381387978397404,10.0
IL,0.11503907116588773,20.0
CO,0.13345546242380432,9.0
NY,0.15103164601313082,29.0
CA,0.15349424562310862,55.0
OR,0.16712633621925782,7.0
CT,0.1725761390247834,7.0
DE,0.18884445830661598,3.0
WA,0.1984410335823055,12.0
RI,0.20076429481470975,4.0
ME-AL,0.20421856697209292,2.0
MA,0.2518043171618132,11.0
MD,0.2724830027843278,10.0
HI,0.29530256041217806,4.0
ME-01,0.3202079338781628,1.0
VT,0.4308029883651847,3.0
DC,0.7983929853227221,3.0
