index,index_1,abbreviation,state,Population,pres_pvi_2024,2024_pres_margin,pres_pvi_2024_label,evs_2024,2024_pres_relative_margin,2024_national_margin,gov_2024_margin,sen_2024_margin,sen_2024_party,sen_2022_party,sen_2020_party,senate_class_1,senate_class_2,2022_senate_margin
0,0,AK,Alaska,736510,-0.122218755780304,-0.1369312508474993,R+12.2,3,-0.1219345594132992,-0.0149966914342001,-0.35,NO_ELECTION,NO_ELECTION,R,R,II,III
1,1,AL,Alabama,5117673,-0.2948316680115264,-0.3088122385938789,R+29.5,9,-0.2938155471596788,-0.0149966914342001,-0.355,NO_ELECTION,NO_ELECTION,R,R,II,III
2,2,AR,Arkansas,3069463,-0.2995871939494753,-0.3133998647229674,R+30.0,6,-0.2984031732887673,-0.0149966914342001,-0.284,NO_ELECTION,NO_ELECTION,R,R,II,III
3,3,AZ,Arizona,7473027,-0.0411843886935891,-0.0558831792173336,R+4.1,11,-0.0408864877831335,-0.0149966914342001,0.0064,0.024,D,D,D,I,III
4,4,CA,California,39198693,0.223840385629271,0.2080028514359668,D+22.4,54,0.2229995428701669,-0.0149966914342001,0.184,0.59,D,D,D,I,III
5,5,CO,Colorado,5903859,0.097901166426765,0.0829139477890704,D+9.8,10,0.0979078392232705,-0.0149966914342001,0.193,NO_ELECTION,NO_ELECTION,D,D,II,III
6,6,CT,Connecticut,3677813,0.207734436055096,0.1928168802885851,D+20.8,7,0.2078135717227852,-0.0149966914342001,0.055,0.192,D,D,NO_ELECTION,I,III
50,50,DC,District of Columbia,680300,0.805966996946495,0.7910003055122949,D+80.6,3,0.8059669969464951,-0.0149966914342001,0.8,NO_ELECTION,NO_SENATORS,NO_SENATORS,NO_SENATORS,NO_SEATS,NO_SEATS
7,7,DE,Delaware,1024395,0.195068431133863,0.1799892014002871,D+19.5,3,0.1949858928344872,-0.0149966914342001,0.2,0.363,D,NO_ELECTION,D,I,II
8,8,FL,Florida,23564458,-0.139436983816988,-0.1543336752511881,R+13.9,30,-0.1393369838169881,-0.0149966914342001,-0.194,-0.1278,R,R,NO_ELECTION,I,III
9,9,GA,Georgia,11056247,-0.038684398659676,-0.0536810900938761,R+3.9,16,-0.0386843986596761,-0.0149966914342001,-0.075,NO_ELECTION,NO_ELECTION,D,D,II,III
10,10,HI,Hawaii,1415550,0.349233306613994,0.3346399980481941,D+34.9,4,0.3492333066139941,-0.0149966914342001,0.264,0.45,D,D,NO_ELECTION,I,III
11,11,ID,Idaho,1974629,-0.268433156654506,-0.2821656218880051,R+26.8,4,-0.2684331566545051,-0.0149966914342001,-0.402,NO_ELECTION,NO_ELECTION,R,R,II,III
12,12,IL,Illinois,12572081,0.166033654837324,0.150836963503525,D+16.6,19,0.1660336548373251,-0.0149966914342001,0.125,NO_ELECTION,NO_ELECTION,D,D,II,III
13,13,IN,Indiana,6955884,-0.151838386329486,-0.1668050777636861,R+15.2,11,-0.1518383863294861,-0.0149966914342001,-0.18,-0.203,R,NO_ELECTION,NO_ELECTION,I,III
14,14,IA,Iowa,3234893,-0.135236883817368,-0.1500235752515681,R+13.5,6,-0.1352368838173681,-0.0149966914342001,-0.16,NO_ELECTION,NO_ELECTION,R,R,II,III
15,15,KS,Kansas,2956413,-0.122619006269052,-0.1375823976699511,R+12.3,6,-0.1226190062690521,-0.0149966914342001,0.022,NO_ELECTION,NO_ELECTION,R,R,II,III
16,16,KY,Kentucky,4540334,-0.255833306654128,-0.2707000000883281,R+25.6,8,-0.2558333066541281,-0.0149966914342001,0.051,NO_ELECTION,NO_ELECTION,R,R,II,III
