abbr,relative_margin,electoral_votes
NE-03,-0.5350577796612834,1.0
WY,-0.5099220003216172,3.0
WV,-0.4766819279772805,5.0
AR,-0.3876960379265836,6.0
ND,-0.3740542269576918,3.0
ID,-0.3725743572479564,4.0
OK,-0.35149301809556377,7.0
KY,-0.32835538297481737,8.0
SD,-0.3048873701044896,3.0
TN,-0.2945861055131131,11.0
AL,-0.2942352414478294,9.0
LA,-0.2571353326226811,8.0
MS,-0.23560598043202513,6.0
MT,-0.2202677751360102,3.0
MO,-0.1937768952579036,10.0
SC,-0.1867486024827897,9.0
ME-02,-0.1840428907253066,1.0
NE-AL,-0.1702942415881747,2.0
IN,-0.16615080667362872,11.0
UT,-0.16313351168416018,6.0
AK,-0.1495421933549143,3.0
OH,-0.12147242962308039,18.0
IA,-0.12129496224644666,6.0
TX,-0.11801113884291527,38.0
KS,-0.1165698930588376,6.0
FL,-0.11455493469459985,29.0
NE-01,-0.09827714331471812,1.0
AZ,-0.04001234427147528,11.0
NC,-0.02081601239084583,15.0
GA,-0.019529880076676574,16.0
MI,-0.018302394766877856,16.0
NV,-0.011245018259569459,6.0
ME-AL,-0.0016118965090471532,2.0
NH,0.0012254760299985554,4.0
PA,0.004271662524479038,20.0
WI,0.009178871511847844,10.0
MN,0.03759629748531224,10.0
NM,0.0871866719718414,5.0
VA,0.08878776195644437,13.0
NJ,0.08914161903574014,14.0
NE-02,0.12245219821147754,1.0
CO,0.1311435903210538,9.0
IL,0.13722391573997705,20.0
RI,0.1438876977077661,4.0
NY,0.1461040415478455,29.0
DE,0.16294317735337005,3.0
OR,0.1708967465017097,7.0
CT,0.17636772437492887,7.0
ME-01,0.1808190977072123,1.0
WA,0.21250057696731733,12.0
CA,0.266719967929373,55.0
MA,0.27656153380359894,11.0
HI,0.2883089651072948,4.0
VT,0.2951941994504024,3.0
MD,0.33030051535960775,10.0
DC,0.9239071741537946,3.0
