,centroid_3,centroid_1,centroid_2,centroid_5,centroid_4
AK,Red,Red,Red,Red,red
AL,RED,RED,RED,RED,RED
AR,RED,RED,RED,RED,RED
AZ,red,lblue,red,blue,blue
CA,BLUE,BLUE,BLUE,BLUE,BLUE
CO,BLUE,BLUE,BLUE,BLUE,BLUE
CT,BLUE,BLUE,BLUE,BLUE,BLUE
DC,BLUE,BLUE,BLUE,BLUE,BLUE
DE,BLUE,BLUE,BLUE,BLUE,BLUE
FL,Red,Red,Red,Red,Red
GA,Blue,blue,lblue,Blue,red
HI,BLUE,BLUE,BLUE,BLUE,BLUE
IA,RED,Red,red,RED,lred
ID,RED,RED,RED,RED,RED
IL,BLUE,BLUE,BLUE,BLUE,BLUE
IN,RED,RED,RED,RED,RED
KS,RED,Red,Red,Red,red
KY,RED,RED,RED,RED,RED
LA,RED,RED,RED,RED,RED
MA,BLUE,BLUE,BLUE,BLUE,BLUE
MD,BLUE,BLUE,BLUE,BLUE,BLUE
ME-01,BLUE,BLUE,BLUE,BLUE,BLUE
ME-02,blue,RED,blue,red,Red
ME-AL,BLUE,blue,BLUE,Blue,blue
MI,Blue,blue,blue,lblue,lblue
MN,Blue,Blue,Blue,Blue,Blue
MO,RED,RED,Red,RED,RED
MS,RED,RED,RED,RED,RED
MT,RED,RED,Red,RED,Red
NC,blue,blue,blue,blue,red
ND,RED,RED,RED,RED,RED
NE-01,RED,Red,red,RED,blue
NE-02,blue,BLUE,Blue,blue,BLUE
NE-03,RED,RED,RED,RED,RED
NE-AL,RED,RED,RED,RED,Red
NH,Blue,blue,Blue,Blue,Blue
NJ,BLUE,BLUE,Blue,Blue,Blue
NM,Blue,BLUE,Blue,Blue,BLUE
NV,red,blue,blue,Blue,Blue
NY,BLUE,BLUE,BLUE,BLUE,BLUE
OH,red,Red,red,Red,Red
OK,RED,RED,RED,RED,RED
OR,BLUE,BLUE,BLUE,BLUE,BLUE
PA,blue,blue,blue,blue,blue
RI,BLUE,BLUE,BLUE,BLUE,BLUE
SC,Red,RED,RED,Red,RED
SD,RED,RED,RED,RED,RED
TN,RED,RED,RED,RED,RED
TX,Red,Red,Red,Red,Red
UT,RED,RED,RED,RED,Red
VA,Blue,Blue,Blue,Blue,Blue
VT,BLUE,BLUE,BLUE,BLUE,BLUE
WA,BLUE,BLUE,BLUE,BLUE,BLUE
WI,blue,blue,Blue,red,Blue
WV,RED,RED,RED,RED,RED
WY,RED,RED,RED,RED,RED
