abbr,relative_margin,electoral_votes,national_margin,final_margin
NE-03,-0.5460281547682955,1,0.030464841120186766,-0.5155633136481087
AR,-0.5412094084258945,6,0.030464841120186766,-0.5107445673057077
WY,-0.5107759036981134,3,0.030464841120186766,-0.48031106257792666
WV,-0.4928468204047337,4,0.030464841120186766,-0.46238197928454694
OK,-0.40968559441064345,7,0.030464841120186766,-0.3792207532904567
ND,-0.3688214610296421,3,0.030464841120186766,-0.3383566199094553
AL,-0.3663956264859079,9,0.030464841120186766,-0.33593078536572113
KY,-0.3637825881125628,8,0.030464841120186766,-0.33331774699237604
ID,-0.35498658848158854,4,0.030464841120186766,-0.32452174736140177
TN,-0.3522151001160773,11,0.030464841120186766,-0.32175025899589055
SC,-0.32462147651554135,9,0.030464841120186766,-0.2941566353953546
LA,-0.2786757302117167,8,0.030464841120186766,-0.24821088909152994
MS,-0.2722057897114079,6,0.030464841120186766,-0.24174094859122114
SD,-0.2685385647467972,3,0.030464841120186766,-0.23807372362661045
MO,-0.2485705539932385,10,0.030464841120186766,-0.21810571287305172
FL,-0.24803262490777142,30,0.030464841120186766,-0.21756778378758465
ME-02,-0.2445578977658209,1,0.030464841120186766,-0.21409305664563413
GA,-0.24331194876463041,16,0.030464841120186766,-0.21284710764444364
TX,-0.20997440012980517,40,0.030464841120186766,-0.1795095590096184
IN,-0.17610727946623997,11,0.030464841120186766,-0.1456424383460532
NE-AL,-0.16094036926555866,2,0.030464841120186766,-0.1304755281453719
MT,-0.14817697969961746,4,0.030464841120186766,-0.11771213857943069
NC,-0.14399931874921118,16,0.030464841120186766,-0.11353447762902441
KS,-0.142855294726906,6,0.030464841120186766,-0.11239045360671923
OH,-0.12790080874447732,17,0.030464841120186766,-0.09743596762429055
UT,-0.11125402598223347,6,0.030464841120186766,-0.0807891848620467
AK,-0.0819295858281079,3,0.030464841120186766,-0.05146474470792113
NE-01,-0.07223107003913784,1,0.030464841120186766,-0.04176622891895107
NV,-0.07009515451869339,6,0.030464841120186766,-0.03963031339850662
NH,-0.060919177306533845,4,0.030464841120186766,-0.03045433618634708
ME-AL,-0.055487630419627516,2,0.030464841120186766,-0.02502278929944075
MI,-0.05230600457489475,15,0.030464841120186766,-0.021841163454707987
AZ,-0.014025067770832907,11,0.030464841120186766,0.01643977334935386
IA,-0.005160015948157376,6,0.030464841120186766,0.02530482517202939
VA,0.02136302922640583,13,0.030464841120186766,0.0518278703465926
PA,0.037298820581841474,19,0.030464841120186766,0.06776366170202824
DE,0.043728226511133624,3,0.030464841120186766,0.07419306763132039
NJ,0.047551089692395465,14,0.030464841120186766,0.07801593081258223
WI,0.06562838152923986,10,0.030464841120186766,0.09609322264942663
NM,0.07294681970965958,5,0.030464841120186766,0.10341166082984635
MN,0.0748803236033837,10,0.030464841120186766,0.10534516472357047
NY,0.09908248973085153,28,0.030464841120186766,0.12954733085103828
CT,0.1131874432595409,7,0.030464841120186766,0.14365228437972766
RI,0.11449230331075909,4,0.030464841120186766,0.14495714443094584
CO,0.11645031079147554,10,0.030464841120186766,0.1469151519116623
IL,0.12157551915790901,19,0.030464841120186766,0.15204036027809578
ME-01,0.13358263692656586,1,0.030464841120186766,0.16404747804675263
NE-02,0.13543811701075734,1,0.030464841120186766,0.1659029581309441
CA,0.17627324309878897,54,0.030464841120186766,0.20673808421897574
OR,0.1941642198771319,8,0.030464841120186766,0.22462906099731866
HI,0.21112282539617808,4,0.030464841120186766,0.24158766651636485
WA,0.24144260747133375,12,0.030464841120186766,0.2719074485915205
MA,0.27882793179018706,11,0.030464841120186766,0.3092927729103738
VT,0.3027323856191272,3,0.030464841120186766,0.33319722673931396
MD,0.3164291330069347,10,0.030464841120186766,0.3468939741271215
DC,1.076679928261213,3,0.030464841120186766,1.1071447693813996
