,centroid_1,centroid_4,centroid_5,centroid_3,centroid_2
AK,blue,Blue,,blue,Blue
AL,Red,,RED,Red,RED
AR,red,Blue,Red,,
AZ,BLUE,,,Blue,BLUE
FL,Blue,,,blue,
GA,BLUE,,,,Blue
IA,blue,Blue,,,BLUE
ID,RED,,,,Red
IN,red,,,blue,lblue
KS,lred,red,blue,lred,blue
KY,Red,red,RED,Red,
LA,blue,Blue,red,lblue,blue
ME-02,BLUE,,Blue,BLUE,
MS,lblue,lred,Red,red,Red
MT,Red,blue,,,Blue
ND,RED,Red,,,blue
NE-01,blue,,Blue,,BLUE
NE-AL,red,,blue,,Blue
OH,Blue,BLUE,Blue,,
OK,RED,Red,,,red
SC,Blue,blue,lred,blue,red
SD,RED,red,,,blue
TN,Red,,RED,,
TX,blue,,Blue,blue,Blue
UT,Red,,lred,Red,red
WV,RED,Red,RED,,Red
