,centroid_1,centroid_4,centroid_5,centroid_3,centroid_2
AK,blue,Blue,Blue,blue,Blue
AL,Red,Red,RED,Red,RED
AR,red,Blue,Red,Red,Red
AZ,BLUE,BLUE,BLUE,Blue,BLUE
CA,BLUE,BLUE,BLUE,BLUE,BLUE
CO,BLUE,BLUE,BLUE,BLUE,BLUE
CT,BLUE,BLUE,BLUE,BLUE,BLUE
DC,BLUE,BLUE,BLUE,BLUE,BLUE
DE,BLUE,BLUE,BLUE,BLUE,BLUE
FL,Blue,Blue,Blue,blue,blue
GA,BLUE,BLUE,BLUE,BLUE,Blue
HI,BLUE,BLUE,BLUE,BLUE,BLUE
IA,blue,Blue,Blue,Blue,BLUE
ID,RED,RED,RED,RED,Red
IL,BLUE,BLUE,BLUE,BLUE,BLUE
IN,red,red,red,blue,lblue
KS,lred,red,blue,lred,blue
KY,Red,red,RED,Red,Red
LA,blue,Blue,red,lblue,blue
MA,BLUE,BLUE,BLUE,BLUE,BLUE
MD,BLUE,BLUE,BLUE,BLUE,BLUE
ME-01,BLUE,BLUE,BLUE,BLUE,BLUE
ME-02,BLUE,BLUE,Blue,BLUE,BLUE
ME-AL,BLUE,BLUE,BLUE,BLUE,BLUE
MI,BLUE,BLUE,BLUE,BLUE,BLUE
MN,BLUE,BLUE,BLUE,BLUE,BLUE
MO,blue,blue,blue,blue,blue
MS,lblue,lred,Red,red,Red
MT,Red,blue,blue,blue,Blue
NC,BLUE,BLUE,BLUE,BLUE,BLUE
ND,RED,Red,Red,Red,blue
NE-01,blue,blue,Blue,Blue,BLUE
NE-02,BLUE,BLUE,BLUE,BLUE,BLUE
NE-03,RED,RED,RED,RED,RED
NE-AL,red,red,blue,blue,Blue
NH,BLUE,BLUE,BLUE,BLUE,BLUE
NJ,BLUE,BLUE,BLUE,BLUE,BLUE
NM,BLUE,BLUE,BLUE,BLUE,BLUE
NV,BLUE,BLUE,BLUE,BLUE,BLUE
NY,BLUE,BLUE,BLUE,BLUE,BLUE
OH,Blue,BLUE,Blue,Blue,Blue
OK,RED,Red,Red,Red,red
OR,BLUE,BLUE,BLUE,BLUE,BLUE
PA,BLUE,BLUE,BLUE,BLUE,BLUE
RI,BLUE,BLUE,BLUE,BLUE,BLUE
SC,Blue,blue,lred,blue,red
SD,RED,red,red,red,blue
TN,Red,Red,RED,RED,RED
TX,blue,blue,Blue,blue,Blue
UT,Red,Red,lred,Red,red
VA,BLUE,BLUE,BLUE,BLUE,BLUE
VT,BLUE,BLUE,BLUE,BLUE,BLUE
WA,BLUE,BLUE,BLUE,BLUE,BLUE
WI,BLUE,BLUE,BLUE,BLUE,BLUE
WV,RED,Red,RED,RED,Red
WY,RED,RED,RED,RED,RED
